id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,Corkery Group,Italian Cuisine,medium,Hell's Kitchen,18,2.7,false
2,Mills LLC,Italian Cuisine,medium,Chinatown,23,4.0,true
3,Veum-Batz,French Cuisine,expensive,West Village,19,2.5,false
4,"Smitham, Lubowitz and Ondricka",Spanish Cuisine,medium,Chelsea,16,0.9,false
5,Dickens-Ondricka,Mediterranean Cuisine,medium,Hell's Kitchen,17,2.8,false
6,"Lueilwitz, Kessler and Jaskolski",Indian Cuisine,expensive,Lower East Side,14,2.6,false
7,"Abernathy, Rowe and Gleason",Greek Cuisine,expensive,West Village,16,2.8,false
8,Little-Koepp,Italian Cuisine,cheap,Battery Park City,15,0.5,false
9,Weber LLC,Indian Cuisine,medium,Battery Park City,18,1.0,true
10,Moen and Sons,French Cuisine,expensive,Financial District,14,3.9,true
11,Reichert Group,Mediterranean Cuisine,expensive,Battery Park City,24,3.8,true
12,Kuhlman Group,Japanese Cuisine,cheap,Chinatown,24,2.6,false
13,"Ritchie, Ebert and Pollich",Greek Cuisine,medium,Hudson Yards,22,3.3,false
14,Moen-Tremblay,Italian Cuisine,cheap,Chinatown,17,0.2,true
15,"Okuneva, Hermann and Windler",Chinese Cuisine,cheap,Lower East Side,19,2.7,true
16,VonRueden-Langosh,Greek Cuisine,expensive,Tribeca,15,2.9,true
17,Gibson and Sons,French Cuisine,expensive,Lower East Side,18,3.4,true
18,Graham LLC,French Cuisine,medium,Battery Park City,24,2.9,true
19,"Romaguera, Gibson and Lemke",Mediterranean Cuisine,expensive,West Village,16,4.7,false
20,"Bauch, Nicolas and Kuvalis",French Cuisine,medium,Chinatown,22,2.2,false
21,Lemke Group,Italian Cuisine,cheap,Hell's Kitchen,19,3.8,false
22,Von and Sons,French Cuisine,cheap,West Village,23,2.2,false
23,Zieme-Bogan,French Cuisine,cheap,Battery Park City,18,5.0,true
24,"Daugherty, Wilkinson and Kling",Mediterranean Cuisine,medium,Financial District,24,3.8,false
25,Hayes-Hoppe,Greek Cuisine,medium,Hell's Kitchen,21,0.9,false
26,"Wolf, Wisozk and Daugherty",Italian Cuisine,cheap,Tribeca,17,4.9,true
27,"Howe, Nitzsche and Kuhic",Spanish Cuisine,cheap,NoHo,21,1.1,true
28,Nitzsche-Franecki,Italian Cuisine,medium,Battery Park City,21,4.9,true
29,Treutel-Hagenes,Greek Cuisine,cheap,Hudson Yards,22,3.5,false
30,Heathcote-Hudson,French Cuisine,expensive,Financial District,16,3.7,false
31,Braun-Hammes,Chinese Cuisine,medium,Lower East Side,21,1.5,true
32,"White, Crooks and O'Kon",Italian Cuisine,expensive,Battery Park City,23,0.1,false
33,"Johnson, Schowalter and Nienow",Mediterranean Cuisine,expensive,Tribeca,23,4.5,false
34,Schoen Group,Greek Cuisine,expensive,Clinton,14,3.0,true
35,"Morissette, Flatley and Brown",Mediterranean Cuisine,expensive,Greenwich Village,20,2.4,false
36,"Lebsack, D'Amore and Price",French Cuisine,medium,SoHo,18,1.1,false
37,Howell and Sons,French Cuisine,cheap,West Village,15,1.2,false
38,Purdy Group,French Cuisine,expensive,Little Italy,18,1.1,true
39,Koepp LLC,Italian Cuisine,expensive,Clinton,15,1.4,true
40,"Paucek, Cormier and Sporer",Spanish Cuisine,expensive,Hudson Yards,15,4.5,true
41,"Blanda, Bode and Rolfson",Greek Cuisine,medium,West Village,16,4.3,false
42,Pacocha Inc,Italian Cuisine,expensive,NoHo,20,0.7,false
43,Lockman Group,Spanish Cuisine,cheap,Clinton,14,4.0,true
44,Ondricka Inc,Japanese Cuisine,expensive,Tribeca,14,0.0,true
45,Upton-Harvey,Italian Cuisine,cheap,NoHo,17,2.0,true
46,Metz and Sons,Chinese Cuisine,expensive,Clinton,22,0.9,true
47,Windler LLC,Greek Cuisine,expensive,Chinatown,19,3.8,true
48,"Kshlerin, Graham and Jakubowski",French Cuisine,expensive,Lower East Side,14,3.8,true
49,"Schumm, Auer and Hahn",French Cuisine,expensive,Greenwich Village,17,0.2,false
50,Ziemann-Nikolaus,Japanese Cuisine,cheap,Hudson Yards,21,2.9,true
51,Hegmann Inc,Indian Cuisine,cheap,SoHo,18,0.6,false
52,Nader-Reilly,Japanese Cuisine,cheap,Clinton,16,1.1,false
53,Braun and Sons,Indian Cuisine,medium,Little Italy,17,3.2,true
54,Kuphal Group,Chinese Cuisine,expensive,Clinton,17,0.6,false
55,King and Sons,Mediterranean Cuisine,cheap,Hell's Kitchen,18,4.9,true
56,"Pfannerstill, Bergnaum and Stanton",Spanish Cuisine,medium,Chinatown,20,2.2,false
57,"Lockman, Schulist and Murazik",Indian Cuisine,medium,Clinton,21,4.9,true
58,Wisoky-Ziemann,Mediterranean Cuisine,expensive,Hell's Kitchen,15,1.7,true
59,"Parisian, Erdman and Schamberger",Chinese Cuisine,expensive,Hudson Yards,24,4.7,false
60,McLaughlin and Sons,Mediterranean Cuisine,expensive,NoHo,24,1.0,false
61,"Kovacek, Osinski and Zboncak",Italian Cuisine,cheap,Hudson Yards,16,2.6,true
62,Marks-Bogisich,Chinese Cuisine,expensive,NoHo,19,0.3,false
63,"Hickle, Botsford and Gusikowski",Mediterranean Cuisine,medium,Hudson Yards,24,1.1,false
64,Veum and Sons,Indian Cuisine,cheap,Chinatown,18,2.1,true
65,"Hilll, Kutch and Towne",Chinese Cuisine,expensive,Hudson Yards,18,4.3,false
66,"Lesch, Langworth and Ondricka",French Cuisine,cheap,NoHo,24,1.9,true
67,Lesch and Sons,Mediterranean Cuisine,expensive,Hudson Yards,18,2.6,true
68,"Blanda, Jacobs and Block",Spanish Cuisine,medium,Tribeca,24,3.5,true
69,Huels LLC,Mediterranean Cuisine,cheap,Hell's Kitchen,22,3.4,true
70,Stokes LLC,Mediterranean Cuisine,expensive,Little Italy,17,2.3,false
71,Mayer-Hudson,Japanese Cuisine,cheap,Greenwich Village,16,3.1,false
72,Klein Group,French Cuisine,expensive,Clinton,17,4.2,false
73,Prosacco-Huel,Japanese Cuisine,medium,Clinton,14,2.4,false
74,"Collins, Stroman and Hodkiewicz",Italian Cuisine,expensive,West Village,16,1.0,false
75,Hartmann-Jakubowski,Indian Cuisine,cheap,Clinton,21,3.6,true
76,"McCullough, Kutch and West",Italian Cuisine,medium,Hell's Kitchen,14,4.3,true
77,Pfeffer Inc,Italian Cuisine,expensive,Little Italy,20,4.9,false
78,"Schimmel, Cartwright and Sipes",Mediterranean Cuisine,expensive,Greenwich Village,21,1.4,false
79,Jakubowski and Sons,Italian Cuisine,expensive,Financial District,14,2.4,true
80,Wolff-Farrell,Mediterranean Cuisine,expensive,Hell's Kitchen,15,4.2,true
81,"Paucek, Kuhn and Ruecker",Mediterranean Cuisine,medium,Chinatown,22,4.7,false
82,Treutel-Bins,Spanish Cuisine,cheap,SoHo,21,1.4,false
83,"Bernier, Larkin and Steuber",Chinese Cuisine,cheap,Tribeca,14,4.5,false
84,"Keeling, Welch and Volkman",French Cuisine,medium,Financial District,23,4.8,true
85,"Heaney, Reynolds and Heidenreich",Greek Cuisine,cheap,Clinton,20,2.7,false
86,Wolff-Baumbach,Mediterranean Cuisine,medium,Hell's Kitchen,18,2.4,true
87,West LLC,Greek Cuisine,cheap,Greenwich Village,24,2.8,true
88,Considine Inc,Italian Cuisine,medium,Lower East Side,14,2.6,true
89,Cole-Bauch,Indian Cuisine,medium,Hudson Yards,16,1.5,false
90,Huel-Bernier,Spanish Cuisine,medium,Battery Park City,17,2.9,false
91,"Mueller, Kreiger and Swift",Mediterranean Cuisine,cheap,Battery Park City,24,4.5,false
92,Botsford-Schaden,Italian Cuisine,cheap,Chelsea,21,2.1,true
93,Koelpin-Bartoletti,Indian Cuisine,medium,Clinton,20,2.1,true
94,"Kohler, Bashirian and Corwin",Mediterranean Cuisine,cheap,Greenwich Village,19,0.9,true
95,Yundt-Douglas,Indian Cuisine,cheap,Chelsea,22,3.1,false
96,Gaylord LLC,Chinese Cuisine,medium,West Village,21,4.6,false
97,Gusikowski-Aufderhar,Chinese Cuisine,expensive,Hell's Kitchen,22,3.7,false
98,"O'Reilly, Emmerich and Stroman",Indian Cuisine,medium,Chelsea,17,2.3,false
99,Kuhn Group,Italian Cuisine,medium,Greenwich Village,14,1.1,false
100,Raynor-Braun,Chinese Cuisine,expensive,Lower East Side,24,4.1,true
101,Haley Group,Japanese Cuisine,medium,SoHo,24,4.5,true
102,Green-Medhurst,Greek Cuisine,cheap,Tribeca,16,2.3,true
103,"Abernathy, Erdman and Walsh",Mediterranean Cuisine,cheap,Chelsea,20,0.3,false
104,"Luettgen, Swift and Lebsack",Indian Cuisine,medium,Greenwich Village,20,2.7,false
105,Donnelly Inc,Mediterranean Cuisine,medium,Greenwich Village,18,3.0,true
106,"Baumbach, Mosciski and Raynor",French Cuisine,expensive,Hudson Yards,21,0.8,false
107,Harris Group,Indian Cuisine,cheap,Chinatown,21,2.9,true
108,Boyer-Nikolaus,Japanese Cuisine,medium,SoHo,14,4.8,false
109,"Hartmann, Treutel and Wilkinson",French Cuisine,expensive,Greenwich Village,18,4.7,true
110,Bogan-Mohr,Indian Cuisine,expensive,Greenwich Village,18,2.6,true
111,"Jacobs, Christiansen and Hackett",Spanish Cuisine,cheap,West Village,23,1.5,true
112,Ruecker-Boehm,Japanese Cuisine,cheap,Chinatown,23,3.1,true
113,Gerlach-Grady,Spanish Cuisine,medium,Lower East Side,14,0.8,false
114,Torphy and Sons,Indian Cuisine,cheap,Chinatown,14,1.9,false
115,Hessel-Thiel,Indian Cuisine,cheap,Greenwich Village,15,2.4,true
116,Dickinson and Sons,Spanish Cuisine,medium,Hell's Kitchen,22,0.2,true
117,Pollich Group,Indian Cuisine,medium,Hell's Kitchen,14,2.8,true
118,"Rippin, Fadel and Cassin",Japanese Cuisine,expensive,Hudson Yards,16,1.3,false
119,Fay and Sons,Chinese Cuisine,medium,Chinatown,16,2.7,false
120,"Hintz, Daniel and Cruickshank",Greek Cuisine,medium,Battery Park City,14,1.0,true
121,"Heidenreich, Schoen and Lakin",Indian Cuisine,expensive,Financial District,14,4.3,true
122,Luettgen-MacGyver,Italian Cuisine,medium,SoHo,20,3.3,false
123,Balistreri Group,Italian Cuisine,cheap,Greenwich Village,21,3.4,true
124,Boyer-Green,Mediterranean Cuisine,expensive,Little Italy,20,2.8,false
125,Hettinger-Dare,Japanese Cuisine,medium,Clinton,16,1.5,false
126,"McKenzie, Wyman and Schmeler",French Cuisine,expensive,Financial District,20,2.5,true
127,Schmeler-Goldner,Chinese Cuisine,expensive,Greenwich Village,19,4.8,false
128,"Wunsch, Abbott and Grimes",French Cuisine,cheap,Chelsea,23,3.3,false
129,"Waters, Ledner and Schiller",Mediterranean Cuisine,cheap,Financial District,21,2.8,true
130,McCullough-Bechtelar,Greek Cuisine,expensive,Tribeca,16,4.5,true
131,Kris Inc,French Cuisine,cheap,Financial District,18,0.2,false
132,Torp Inc,Indian Cuisine,medium,Chinatown,18,2.0,false
133,Murphy-Hyatt,Spanish Cuisine,medium,Chelsea,19,3.6,true
134,Cremin-Schiller,Greek Cuisine,medium,SoHo,23,4.8,false
135,Ledner and Sons,Japanese Cuisine,expensive,Little Italy,18,4.8,false
136,"Streich, Hintz and Hintz",Mediterranean Cuisine,cheap,Chinatown,18,4.6,true
137,Kohler Group,Chinese Cuisine,medium,SoHo,23,0.6,true
138,"Mraz, Shields and Robel",French Cuisine,expensive,NoHo,22,2.4,true
139,Morissette-Tremblay,French Cuisine,cheap,West Village,17,2.6,true
140,"Raynor, Metz and Trantow",Italian Cuisine,expensive,Chelsea,14,2.2,false
141,Boyer-Bins,Mediterranean Cuisine,cheap,Clinton,16,0.4,true
142,Spinka Group,Japanese Cuisine,cheap,West Village,14,1.4,true
143,Kerluke Inc,Greek Cuisine,expensive,Hudson Yards,21,4.7,true
144,"Prohaska, Conroy and Donnelly",Greek Cuisine,medium,West Village,15,1.6,true
145,Runte-O'Connell,Indian Cuisine,cheap,Tribeca,19,3.7,false
146,Kunde-Kris,Indian Cuisine,cheap,Chinatown,15,3.1,false
147,Cartwright Inc,Chinese Cuisine,medium,Little Italy,18,1.4,false
148,Kunze-Lind,Italian Cuisine,expensive,Lower East Side,24,3.9,false
149,Aufderhar-Gaylord,Mediterranean Cuisine,medium,Chinatown,22,2.3,true
150,Borer-Schamberger,Italian Cuisine,cheap,Greenwich Village,15,3.1,false
151,Ledner-Tromp,Indian Cuisine,expensive,Lower East Side,18,1.4,true
152,Cronin Group,Mediterranean Cuisine,cheap,West Village,14,2.1,false
153,Rogahn Inc,Indian Cuisine,cheap,Battery Park City,20,2.3,true
154,Wyman LLC,Chinese Cuisine,cheap,Chelsea,17,2.6,false
155,Conroy-Collier,French Cuisine,cheap,NoHo,15,0.1,false
156,Buckridge-Shanahan,French Cuisine,medium,Chelsea,16,1.3,false
157,Kub Group,Chinese Cuisine,expensive,Clinton,19,1.8,true
158,"Abbott, Littel and Okuneva",Japanese Cuisine,expensive,Chinatown,14,1.3,false
159,"Davis, Walker and Torp",French Cuisine,cheap,Chinatown,15,3.9,true
160,"Jacobson, Kuvalis and Sawayn",Indian Cuisine,cheap,Battery Park City,23,0.5,true
161,"Carroll, Dickinson and Keeling",Spanish Cuisine,expensive,Lower East Side,14,2.4,true
162,"Champlin, Gutkowski and Nader",Italian Cuisine,medium,Little Italy,19,2.1,false
163,Rice Inc,Indian Cuisine,cheap,Chelsea,14,2.3,false
164,Hansen LLC,Spanish Cuisine,cheap,Chelsea,24,2.8,true
165,"Hoeger, O'Kon and Streich",Greek Cuisine,medium,NoHo,19,2.2,false
166,"Walker, Nikolaus and Kohler",Indian Cuisine,cheap,Lower East Side,17,2.5,true
167,"Hickle, Mitchell and Goodwin",Indian Cuisine,cheap,NoHo,19,3.6,true
168,Leannon-Dickinson,French Cuisine,expensive,Battery Park City,15,0.3,true
169,Bergstrom-Bosco,Japanese Cuisine,expensive,Hell's Kitchen,16,3.7,true
170,"McGlynn, Rosenbaum and Klein",Mediterranean Cuisine,medium,Clinton,16,1.5,false
171,Schowalter-Bartoletti,Greek Cuisine,cheap,Chelsea,14,1.7,true
172,"Bins, Heathcote and Corkery",Chinese Cuisine,expensive,Financial District,22,3.3,true
173,Stracke-Bednar,Spanish Cuisine,medium,Tribeca,22,0.9,true
174,Ullrich-Stehr,Greek Cuisine,medium,SoHo,16,0.2,false
175,Bogisich-Kunze,Greek Cuisine,medium,Tribeca,18,2.7,true
176,"Pouros, Medhurst and Hintz",Mediterranean Cuisine,medium,Battery Park City,18,2.7,true
177,Von-Aufderhar,Japanese Cuisine,cheap,Lower East Side,22,2.4,false
178,"Wiegand, Stroman and Howell",Indian Cuisine,medium,Hell's Kitchen,21,3.1,true
179,Batz LLC,Chinese Cuisine,expensive,Chelsea,22,5.0,true
180,Wuckert-O'Connell,Japanese Cuisine,cheap,Tribeca,14,4.3,true
181,"Boyle, Stokes and Nader",Greek Cuisine,medium,Battery Park City,20,0.2,true
182,Gibson-Carroll,Italian Cuisine,cheap,West Village,14,1.9,false
183,"Reinger, Collins and Grimes",Japanese Cuisine,expensive,Tribeca,22,2.3,false
184,Walter Inc,Indian Cuisine,cheap,Hell's Kitchen,16,3.3,false
185,Beer-Langworth,French Cuisine,expensive,Chinatown,19,1.4,true
186,Botsford and Sons,Japanese Cuisine,expensive,Clinton,24,2.4,false
187,"Klein, Stroman and Howell",Spanish Cuisine,medium,Hell's Kitchen,20,1.8,false
188,Morar LLC,Greek Cuisine,cheap,NoHo,21,0.3,false
189,Macejkovic-Davis,Japanese Cuisine,cheap,Financial District,14,1.9,false
190,Weissnat-Toy,Greek Cuisine,cheap,Clinton,17,2.6,true
191,Prohaska LLC,French Cuisine,medium,Little Italy,20,3.2,false
192,"Hane, Ruecker and Rutherford",Japanese Cuisine,expensive,Hudson Yards,18,1.8,true
193,"Miller, Carroll and Hermiston",Japanese Cuisine,cheap,Clinton,24,1.4,true
194,"O'Hara, Botsford and Klein",Chinese Cuisine,cheap,West Village,16,1.3,false
195,Hermiston-Schaefer,Chinese Cuisine,medium,Greenwich Village,20,3.1,true
196,"Spinka, Bosco and Rath",Greek Cuisine,cheap,Greenwich Village,17,4.1,false
197,Bednar-Hammes,Spanish Cuisine,expensive,Battery Park City,24,0.6,true
198,"Bode, Kertzmann and Wyman",Chinese Cuisine,cheap,Tribeca,18,2.1,true
199,"Strosin, Marks and Reichel",Mediterranean Cuisine,expensive,SoHo,21,0.3,false
200,Haag-Corkery,Chinese Cuisine,cheap,Tribeca,17,4.1,false
201,"Erdman, Homenick and Hamill",French Cuisine,expensive,Chelsea,16,1.1,false
202,Thiel-Luettgen,Indian Cuisine,expensive,Greenwich Village,17,3.8,true
203,Torp-Cremin,Italian Cuisine,expensive,Chelsea,22,0.7,true
204,"Romaguera, Friesen and Reilly",Spanish Cuisine,expensive,Clinton,16,0.8,true
205,"Stroman, Pacocha and Schoen",Chinese Cuisine,cheap,Clinton,22,3.7,true
206,Brekke and Sons,Chinese Cuisine,cheap,Tribeca,14,4.1,true
207,Cormier-Steuber,Spanish Cuisine,expensive,Tribeca,15,2.5,true
208,"Koelpin, Jacobson and Abernathy",Greek Cuisine,medium,NoHo,15,1.5,true
209,Deckow LLC,Spanish Cuisine,expensive,Chelsea,20,0.7,true
210,Von-Borer,Spanish Cuisine,expensive,Chelsea,23,2.5,false
211,"Farrell, Morar and Rau",Chinese Cuisine,cheap,SoHo,14,0.9,true
212,Kerluke-Leannon,Italian Cuisine,medium,Tribeca,20,4.6,false
213,"O'Reilly, Daniel and Kub",Mediterranean Cuisine,expensive,Lower East Side,20,4.6,true
214,O'Kon Group,Italian Cuisine,expensive,Little Italy,17,4.9,true
215,"Aufderhar, Abernathy and Breitenberg",Japanese Cuisine,medium,Tribeca,17,2.5,false
216,Weimann LLC,Chinese Cuisine,expensive,Battery Park City,16,1.5,false
217,Wiza-Pfannerstill,Japanese Cuisine,cheap,Tribeca,15,0.2,false
218,Ratke-Shields,Spanish Cuisine,medium,Hell's Kitchen,18,0.7,false
219,Kuvalis and Sons,Italian Cuisine,expensive,Hudson Yards,24,0.0,true
220,Blanda-Bruen,Italian Cuisine,medium,Little Italy,15,0.9,true
221,Sipes-Bashirian,French Cuisine,cheap,Tribeca,21,1.5,false
222,Simonis Group,Indian Cuisine,cheap,Chinatown,16,2.1,false
223,Spinka and Sons,Japanese Cuisine,cheap,Chinatown,22,1.0,true
224,Cormier-Klocko,Indian Cuisine,medium,Tribeca,20,3.8,true
225,"Lehner, Considine and Ruecker",Italian Cuisine,medium,Tribeca,21,3.2,false
226,"Jacobi, Bailey and Miller",Italian Cuisine,cheap,West Village,20,0.1,false
227,Cruickshank-Lebsack,French Cuisine,expensive,SoHo,16,3.0,false
228,"Spinka, Swift and Rosenbaum",Mediterranean Cuisine,cheap,NoHo,16,2.8,false
229,McLaughlin LLC,Indian Cuisine,expensive,Chinatown,17,2.2,true
230,"MacGyver, Bins and Wisoky",Indian Cuisine,cheap,Chinatown,24,1.6,false
231,Zieme-Wisozk,French Cuisine,cheap,Chelsea,19,3.4,true
232,Dibbert LLC,Mediterranean Cuisine,medium,SoHo,16,1.8,true
233,"Heathcote, McClure and Schaden",Chinese Cuisine,medium,Clinton,17,4.7,true
234,Labadie LLC,Indian Cuisine,expensive,Greenwich Village,17,3.3,true
235,"Steuber, Powlowski and Schinner",Mediterranean Cuisine,expensive,Hell's Kitchen,24,1.8,true
236,Kuhic Group,Italian Cuisine,medium,Hell's Kitchen,17,0.4,false
237,Rath-Kling,Indian Cuisine,expensive,Chelsea,19,4.9,false
238,"Feil, Lueilwitz and Baumbach",Chinese Cuisine,cheap,Financial District,19,4.7,false
239,Satterfield-Hammes,Mediterranean Cuisine,expensive,Clinton,16,1.2,false
240,"Schultz, Robel and Wunsch",Spanish Cuisine,medium,Chinatown,16,4.2,false
241,Parker-Jacobson,Chinese Cuisine,cheap,Hell's Kitchen,14,5.0,false
242,Wehner-Gerlach,Japanese Cuisine,expensive,Lower East Side,23,1.3,false
243,O'Connell Group,Japanese Cuisine,expensive,SoHo,16,4.3,true
244,Dietrich Group,Greek Cuisine,cheap,Tribeca,23,3.9,false
245,Moen-Hirthe,Japanese Cuisine,cheap,Little Italy,15,0.9,true
246,Stamm-Funk,Mediterranean Cuisine,medium,Greenwich Village,20,3.4,false
247,Haley-Auer,French Cuisine,expensive,Tribeca,15,3.4,false
248,Boehm-Glover,Chinese Cuisine,expensive,Financial District,16,3.1,true
249,Hauck-Pacocha,Indian Cuisine,medium,SoHo,18,2.6,true
